file,mime
.aac,audio/aac
.abw,application/x-abiword
.arc,application/x-freearc
.avi,video/x-msvideo
.azw,application/vnd.amazon.ebook
.bin,application/octet-stream
.bmp,image/bmp
.bz,application/x-bzip
.bz2,application/x-bzip2
.csh,application/x-csh
.css,text/css
.csv,text/csv
.doc,application/msword
.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
.eot,application/vnd.ms-fontobject
.gif,image/gif
.htm,text/html
.html,text/html
.ico,image/x-icon
.jpg,image/jpg
.jpeg,image/jpeg
.js,application/javascript
.json,application/json
.map,application/json
.pdf,application/pdf
.png,image/png
.ps1,application/ps1
.svg,image/svg+xml
.tif,image/tiff
.tiff,image/tiff
.ttf,font/ttf
.txt,text/plain
.woff,font/woff
.woff2,font/woff2
.xhtml,application/xhtml+xml
.xml,application/xml
.zip,application/zip
.7z,application/x-7z-compressed